Assessment ID,Extracted use,Persistence Tag,Perfluoro Tag
LTD1963, The notified chemical will be used as a component of automatic dishwashing detergents at a concentration of < 0.1%.,,
LTD1965," The notified polymer will be used as a surface primer to promote adhesion of sealants and adhesives. It will be used on a wide range of substrates including float-glass, ceramic-coated glass, plastics, pre-coatings, painted surfaces, E-coat surfaces and metals. The primers containing the notified polymer at ? 15% concentration are for industrial use only and not expected to be available to the public for DIY use.",,
LTD1966, The notified polymer will be used as a component of inkjet printing ink.,,
LTD1967, The notified chemical is intended to be used as a component in rinse-off facial cleaners at 3 or 5.7% concentration.,,
LTD1968, The notified chemical will be used as a fragrance ingredient in cosmetic and household products at ? 1% concentration.,,
LTD1969," Fragrance mixtures containing the notified chemical at ? 10% concentration will be reformulated to produce a variety of finished consumer goods such as fine perfumes, personal care products, and household products. The notified chemical will be used at a final concentration of ? 0.01% in finished consumer products.",,
LTD1970, The notified chemical will be used as an ingredient in leave on and rinse off cosmetic products (excluding aerosols) at up to 10% concentration.,,
LTD1971, The notified chemical will be used as a flavouring ingredient in toothpastes at concentrations up to 0.2% for adults and children 6 years old and above and mouth rinses at up to 0.01% for adults and children 6 years old and above.,,
LTD1972," The notified chemical will be used as an ingredient in fragrance oils that will be incorporated into soaps, detergents, cleaners and other household products, as well as cosmetics and personal care products. The concentration of the notified chemical in the fragrance oil is typically not more than 0.01%. Depending on the amount of the fragrance oil in the final product, the concentration of the notified chemical in the household products and cosmetics may vary significantly, however, it will not exceed 0.001% by weight.",,
LTD1973, The notified polymer will be imported into Australia as a component of an aqueous solution at < 50% concentration for reformulation as a component in printing press cleaners at < 1% concentration.,"Based on the above ecotoxicological points the notified polymer is expected to be harmful to algae. Therefore, under the Globally Harmonised System of Classification and Labelling of Chemicals (GHS) (United Nations, 2009), the notified polymer is formally classified as “Acute Category 3; Harmful to aquatic life”. Based on the acute toxicity and potential persistence, the notified polymer has been formally classified as “Chronic Category 3; Harmful to aquatic life with long lasting effects” under the GHS for chronic toxicity.",
LTD1974, The notified polymer will be used as a surface sizing agent in the cardboard manufacturing industry.,,
LTD1975, The notified polymer will be used as an ingredient in cosmetic products at < 5% concentration.,,
LTD1976," The notified polymer will be used as a dispersing agent at ? 10% concentration in water-based pigment preparations. The primary use of the notified polymer will be in water-based paints. Finished paint products containing the notified polymer will be used by both industrial and do-it-yourself (DIY) users. The pigment preparations containing the notified polymer may also be added into mixtures for tyre, rubber or plastic manufacturing.",,
LTD1977, The notified chemical will be used at < 5% concentration in automatic dishwasher tablets.,,
LTD1978, The notified polymer will be used as a component of automotive engine oils at ? 12% concentration.,,
LTD1979, The notified chemical will be used as a component of liquid silicone rubber.,,
LTD1980,The notified chemical will be used as a fragrance ingredient in cosmetic and household products.,,
LTD1981, The notified chemical will be used as a component of inkjet printing ink for office and commercial use at a concentration < 5%. No home use of the ink containing the notified chemical is expected.,,
LTD1982, The notified chemical is a fragrance ingredient for use in cosmetic and household products. The proposed final concentration of the notified chemical in end-use cosmetic and household products will be ? 0.4%.,,
LTD1983, The notified polymer will be used as a component of wash off shower cleaning products for domestic use. The final concentration of the notified polymer in the products will be less than 5%.,The risk quotient for discharge of effluents containing the notified polymer to the aquatic environment indicates that the notified polymer is unlikely to reach ecotoxicologically significant concentrations based on its maximum annual importation quantity. Although the notified polymer is likely to be persistent in the environmental it is not,
LTD1984, The notified polymer will be used as a component of industrial sealant products at ? 30% concentration.,,
LTD1985," The notified chemical will be used as a component of printer toners (at ? 15% concentration) in sealed cartridges which will be handled by service technicians, office workers and home users.",,
LTD1986," The notified chemical is an additive in leave-on and rinse-off hair care products. The notified chemical will be present in the finished products at concentrations of ? 5%. In the aerosol hair spray products, the concentration of the notified chemical will be ? 1%.","Conclusions On the basis of the assessed use pattern, the notified chemical itself is not considered to directly pose an unreasonable risk to the environment. However, the notified chemical contains fluorinated carbon groups that have the potential to degrade to the exceptionally persistent short-chain polyfluorinated carboxylic acid, pentanoic acid, 2,2,3,3,4,4,5,5-octafluoro-.","Woodcroft M, Ellis D, Rafferty S, Burns D, March R, Stock N, Trumpour K, Yee J and Munro K (2010) 
Experimental Characterization of the Mechanism of Perfluorocarboxylic Acids’ Liver Protein 
Bioaccumulation: The Key Role of the Neutral Species. Environ Toxicol Chem, Early View. DOI: 
10.1002/etc.199."
LTD1987, The notified chemicals will be used as a component of inkjet printer ink at < 7% concentration (for each notified chemical) for commercial and household printers.,,
LTD1988, The notified chemicals will be used as a component of inkjet printer ink at < 7% concentration (for each notified chemical) for commercial and household printers.,,
LTD1989," The notified polymer will be used as an emollient in cosmetic and personal care leave-on and rinse-off products  - shampoo, conditioner, hair styling products, body wash, face cream, general purpose cream, body cream/lotion and secondary/cosmetic sunscreens, at ? 10% concentration.",,
LTD1990, The notified polymer will be used as a component of oil and water repellent paints and coatings at concentrations up to 1%.  Products containing the notified chemical are intended for industrial and commercial use only and will not be sold to the public.,"Conder JM, Hoke RA, de Wolf W, Russell MH, Buck RC (2008). Are PFCAs bioaccumulative? A critical review and comparison with regulatory criteria and persistent lipophilic compounds. Environ Sci Technol;42:995–1003.","Woodcroft M, Ellis D, Rafferty S, Burns D, March R, Stock N, Trumpour K, Yee J and Munro K (2010) 
Experimental Characterization of the Mechanism of Perfluorocarboxylic Acids’ Liver Protein 
Bioaccumulation: The Key Role of the Neutral Species. Environ Toxicol Chem, Early View. DOI: 
10.1002/etc.199."
LTD1991,"The notified chemical will be used as a fragrance ingredient in cosmetic and household products. The proposed usage concentration of the notified chemical in various consumer products will be:
� ? 1% in deodorant, hand cream, and hairstyling (non-spray) products;
� ? 1.85% in fine fragrances;
� ? 2% in face cream, body lotion and other leave-on cosmetic products (such as makeup, makeup remover and eye products);
� ? 2.5% in hairspray and household cleaning products;
� ? 5% in rinse-off cosmetic products (such as hand soap, shampoo, shower gel and facial cleaners); and
� ? 10% in air-care products (such as candles and air-fresheners).",,
LTD1992," The notified chemical will be used as a fragrance ingredient in a variety of cosmetic and household products (at maximum usage concentrations of 4.8% in fine fragrances, 0.21% in other cosmetic products and 0.2% in household products). The typical concentrations used in many product types will be lower than the maximum concentrations intended: 0.01% in fine fragrances, 0.002% in other cosmetic products, and 0.0002% in household cleaning products.",,
LTD1993," The notified chemical will be used as a fragrance ingredient in cosmetic and household products (at ? 3% concentration in fine fragrances, at ? 0.35% concentration in other cosmetics and at ? 0.4% concentration in household products).",,
LTD1994, The notified chemical will be used as an ingredient in cosmetic and household products. The concentration of the notified chemical in final consumer products will vary but the proposed usage concentrations will not exceed 1.25%.,,
LTD1997, The notified chemical will be used in UV-cured inks for commercial printing on paperboard materials. The final concentration of the notified chemical in end-use inks will be ? 1%.,,
LTD1998, The formulation containing the notified polymer will be used as an additive in water based industrial and automotive paints. The notified polymer functions as a pigment dispersant.,,
LTD1999," The notified chemical will be used as a fragrance component in a variety of cosmetic and household products at typical final use concentrations of ? 0.5% in leave-on/rinse-off cosmetics, ? 5% in fine fragrances, ? 0.5% in household cleaning products, ? 5% in instant action air fresheners and ? 10% in other types of air fresheners (use details claimed as Exempt Information).",,
LTD2000,  The notified polymer will be used as a component of pigment additive products (at < 5% concentration). The pigment additive products will be further reformulated into industrial paint and powder coating products that contain the notified polymer at < 2% concentration.,,
LTD2001, The notified chemical will be used as a fragrance ingredient in cosmetic and household products at ? 0.3% concentration.,,
LTD2002," The notified chemical will be used as a fragrance ingredient in various cosmetic, personal care and household products. The final proposed concentration range of the notified chemical in end-use products will be ? 1%, with the exception of fine fragrances at ? 3%, hair spray at ? 2%, and deodorants at ? 0.5%.",,
LTD2004, The notified polymer will be used as a pigment dispersant introduced in the product Dispex Ultra FA 4484 at < 30% concentration. Dispex Ultra FA 4484 will be blended with other paint components to formulate various finished industrial and automotive paints. These paint products will contain the notified polymer at < 0.5% concentration.,,
LTD2005," The notified polymer will be used as a colour stabiliser in shampoos and conditioners, at < 1% concentration, to reduce photolytic colour degradation of dyes. The hair care products containing the notified polymer will be supplied to professional hairdressing salons and may be sold to consumers through salons.","The risk quotient for discharge of effluents containing the notified polymer to the aquatic environment indicates that the notified polymer is unlikely to reach ecotoxicologically significant concentrations based on its maximum annual importation quantity. Although the notified polymer is likely to be persistent in the environmental it is not expected to be bioaccumulative due to its cationic nature.  Therefore, on the basis of the PEC/PNEC ratio, the maximum annual importation volume and assessed use pattern, the notified polymer is not expected to pose an unreasonable risk to the environment.",
LTD2006,The notified chemical will be used as a fragrance ingredient in cosmetic and household products.,,
LTD2007,The notified chemical will be used as a fragrance ingredient in cosmetic and household products at ? 6.5% concentration.,,
LTD2008, The notified polymer will be used as additive in paints. It functions as a dispersing agent. The final concentration of the notified polymer in paints will be < 20%.,,
LTD2009, The notified polymer will be used as a component of protective and industrial coatings at a concentration of < 5%.,,
LTD2010, The notified polymer will be used as an additive in the preparation of concrete admixtures which will be used in ready-mix concrete preparation and pre-cast moulded concrete. The final concrete will contain < 1% of the notified polymer.,,
LTD2011," The notified polymer (in neat form) or the product containing the notified polymer (at > 90% concentration) will be used as a synthetic refrigerant lubricant, and as compressor oil for commercial air conditioning systems. The notified polymer or the lubricant formulation containing the notified polymer will be distributed to industrial end-users for injection into commercial hydrofluorocarbon (HFC) compressors as well as heating, ventilation, and air conditioning (HVAC) equipment for buildings. The notified polymer is soluble in process fluids and is miscible with HFC refrigerants.",,
LTD2012, The notified polymer will be used as a component of paints and inks at < 1% concentration. The paints and inks will be applied to a variety of substrates including metal and cardboard.,,
LTD2013," The notified polymer is a component of a coating product that will be applied to the interior surface of aluminium, tinplate or tin-free steel packaging. The packaging will be for cosmetic and household products, and food products. The notified polymer will be present in the cured coating at < 2% concentration.",,
LTD2014, The product containing the notified polymer will be used as surface sizing agent in paper and cardboard manufacture. The cardboard will be used in packaging non-food and food items.,,
LTD2015, The notified polymer will be used as a resin component of automotive and industrial coatings at < 15% concentration.,,
LTD2016,The notified chemical will be used as a fragrance ingredient in cosmetic and household products.,,
LTD2017,The notified chemical will be used as a fragrance ingredient in cosmetic and household products.,,
LTD2018," The notified chemical will be used as an emollient in cosmetic products such as body lotion, shower gel, hand cream and soap, at ? 10% concentration.",,
LTD2019,The notified chemical will be used as a fragrance ingredient in cosmetic and household products.,,
LTD2020," The notified polymer will be used as a component of industrial paints and inks at < 10% concentration. The finished paints will be applied to metal, timber and masonry. The inks will be applied to paper and plastic.",,
LTD2021, The notified chemical will be used as a cosmetic ingredient in a variety of products at a proposed usage concentration of ? 4.9%.,,
LTD2022," The notified chemical will be used as a fragrance ingredient and incorporated into a variety of cosmetic and household products in Australia. In finished consumer products the maximum proposed use concentrations of the notified chemical are ? 1% in fine fragrances and body lotion, ? 0.5% in deodorants, and ? 1.5% in other cosmetic and household products.",,
LTD2023,"The notified chemical will be used as a fragrance ingredient in liquid laundry fabric softeners at a concentration of up to 0.5% by weight. In some cases, the fabric softener products will be diluted with water prior to application. The dilution factor, which is often on the product label, depends on the type of the fabric to be treated, loading volume, and the type and method of application. The finished products containing the notified chemical will be used by the public and by professional cleaners.",,
LTD2024, The notified polymers will be used as additives in concrete. The final use concentrations for each of the notified polymers in concrete will be < 1%.,,
LTD2025, The notified polymers will be used as additives in concrete. The final use concentrations for each of the notified polymers in concrete will be < 1%.,,
LTD2026, The notified polymers will be used as additives in concrete. The final use concentrations for each of the notified polymers in concrete will be < 1%.,,
LTD2027, The notified polymer will be used as a component of a two-part coating system at concentrations of ? 60% for aftermarket vehicle body repairs.,,
LTD2028, The notified chemical will be used as a colouring agent in fertilisers at < 0.1% concentration.,"After application, rainfall events can lead to run-off of the notified chemical from soil. The method for estimating the concentration of the notified chemical in run-off is calculated based on the method used by the APVMA for pesticides (APVMA, 2016). The method uses an OECD based model (Probst et al., 2005), which considers the application rate, topography, in particular the slope of the field to which the chemical is applied, the magnitude of the rainfall and run-off events, and the persistence and mobility of the chemical. In addition placement of the pesticide, an allowance for the heterogeneity of fields and pesticide bound to suspended sediment are also considered. The percentage of the applied chemical that is estimated to run-off is presented as follows:",
LTD2029, The notified polymer will be used as a cosmetic ingredient in a variety of products at a proposed usage concentration of ? 20%.,,
LTD2030, The notified polymer (at final use concentrations of ? 1%) will function as a pigment dispersant in water or solvent based industrial and automotive paints.,,
LTD2031, The notified polymer will be used as a component of industrial and automotive coatings (at < 1% concentration). The notified polymer will be introduced to replace products containing longer polyfluoroalkyl carbon chains.,review and comparison with regulatory criteria and persistent lipophilic compounds. Environ Sci Technol;42:995–1003.,"Woodcroft M, Ellis D, Rafferty S, Burns D, March R, Stock N, Trumpour K, Yee J and Munro K (2010) 
Experimental Characterization of the Mechanism of Perfluorocarboxylic Acids’ Liver Protein 
Bioaccumulation: The Key Role of the Neutral Species. Environ Toxicol Chem, Early View. DOI: 
10.1002/etc.199."
LTD2032," The notified polymer will be used as a wetting and dispersing additive in industrial liquid coatings (at ? 3.2% concentration), ambient curing systems (at ? 3.2% concentration), adhesives and sealants (at 0.5-1.5% concentration), composite coatings (at ? 4% concentration) and stainer solutions (at ? 5% concentration).",,
LTD2033,The notified chemical will be used as a fragrance ingredient in cosmetic and household products.,,
LTD2035, The notified chemical will be used in digital 3D printing of plastic parts.,,
LTD2036,"The notified chemicals will be used as fragrance ingredients for use in cosmetic and household products. The proposed use concentration for both chemicals (combined) is ? 1.1% concentration in (spray) air freshener products, rinse-off cosmetic products and other household products, ? 0.73% in fine fragrances, ? 0.5% concentration in body lotion, hand and face creams and ? 0.3% concentration in deodorants.",,
LTD2037,"The notified chemicals will be used as fragrance ingredients for use in cosmetic and household products. The proposed use concentration for both chemicals (combined) is ? 1.1% concentration in (spray) air freshener products, rinse-off cosmetic products and other household products, ? 0.73% in fine fragrances, ? 0.5% concentration in body lotion, hand and face creams and ? 0.3% concentration in deodorants.",,
LTD2038," The notified chemical, impregnated on alumina pellets, will be introduced into Australia (at ? 10% concentration) as a component of solid hydrotreating catalysts for use in the petroleum refining industry.",,
LTD2039,The notified chemical will be used as a fragrance ingredient in cosmetic and household products at ? 1.25% concentration.,,
LTD2040, The notified polymer (at < 10% concentration) functions as a surfactant and will be used as a corrosion inhibitor for drilling completion workovers and for water-based mud drilling processes in the oil and gas industry. The product containing the notified polymer will be used exclusively in off-shore oil and gas wells operations.,,
LTD2041, The notified chemical will be used as a cosmetic ingredient in a variety of products at a proposed usage concentration of ? 4.9%.,,
LTD2042,The notified chemical will be used as a fragrance ingredient in cosmetic and household products at ? 0.05 concentration.,,
LTD2043," The notified polymer will be used as a component of UV-curable printing inks (at ? 5% concentration) for flexographic or lithographic printing processes on various substrates including paper, carton boards, foil boards, selected plastics and other non-absorbent substrates. The inks containing the notified polymer may potentially be used to print on substrates used in the food and pharmaceutical industries. The notifier stated that prints with the cured inks will not be in direct contact with food or pharmaceuticals.",,
LTD2044," The notified polymer will be used as a component of UV-curable printing inks (at ? 5% concentration) for flexographic or lithographic printing processes on various substrates including paper, carton boards, foil boards, selected plastics and other non-absorbent substrates. The inks containing the notified polymer may potentially be used to print on substrates used in the food industry. The notifier stated that prints with the cured inks will not be in direct contact with food.",,
LTD2045," The notified polymer will be used as a component of coatings at ? 25% concentration and will be used by professional users in the transportation and industrial coatings industry (e.g. equipment, automotive and aviation refinish).",,
LTD2046, The notified chemical will be used as a component in waterproofing products at concentration < 1% and will be used by professional construction workers.,,
LTD2047, The solution containing the notified polymer at ? 10% concentration will be used as an additive for aqueous and UV-curable industrial coatings at ? 0.7% concentration (containing the notified polymer at ? 0.07% concentration). The notified polymer will function in these coatings as a defoamer. The coatings will be applied to metal and wood.,review and comparison with regulatory criteria and persistent lipophilic compounds. Environ Sci Technol;42:995–1003.,"NICNAS (e) Environment Tier II Assessment Short-Chain Perfluorocarboxylic Acids and their Direct 
Precursors. National Industrial Chemicals Notification and Assessment Scheme, Sydney, Australia, 
https://www.nicnas.gov.au/chemical-information/imap-assessments/imap-assessments/tier-ii-environment-
assessments/short-chain-perfluorocarboxylic-acids-and-their-direct-precursors. Accessed on 12 February 
2019."
LTD2048, The notified polymer will be used as a component of printer/photocopier toners at ? 1% concentration.,,
LTD2049, The notified polymer at concentrations of < 30% will be used as a component of transport vehicle and industrial coatings or paints.,,
LTD2050," The notified chemical will be used as a component in a variety of leave-on and rinse-off cosmetic products at concentrations up to 20%, including aerosol spray products such as deodorant and hair sprays.",,
LTD2052, The notified polymer will be used as a component of industrial coatings at < 40% concentration to use on pedestrian and traffic decks.,,
LTD2054, The notified polymer will be used as a component of industrial and automotive coatings at < 5% concentration.,,
LTD2056," The notified polymer is a hair conditioning agent. It can be used in a range of hair care products including rinse-off and leave-on conditioners, shampoos, hair oils and other similar end use products. In finished consumer products the maximum proposed use concentration of the notified polymer is ? 2%.",,
LTD2058," The notified polymer will be used as a component of Part B of a two-part industrial protective coating system, at ? 50% concentration. Immediately prior to use, end users will mix Part B with Part A. The concentration of the notified polymer in the mixed coating system will be ? 12.5%. The mixed coating system will be applied to outdoor steel structures.",,
LTD2059, The notified polymer will be used as a hardener in one-pack moisture-cured polyurethane adhesive/sealants at ? 2% concentration.,,
LTD2060, The notified polymer will be used as a diesel fuel additive at < 0.01% concentration.,,
LTD2061, The notified polymer will be used as a pigment dispersant in water based industrial and architectural coatings at a concentration of ? 0.25%.,,
LTD2062,"The notified chemical will be used as a fragrance ingredient in a variety of cosmetic and household products at final use concentrations of ? 0.57% in fine fragrances, ? 0.25% in other cosmetic products and ? 5% in household cleaning products and air fresheners.",,
LTD2063, The notified chemical (at < 1% concentration) will be used as a component of a catalyst system for polyethylene production.,,
LTD2064, The notified chemical (at < 3% concentration) will be used as an aid in a catalyst system for polyethylene production.,,
LTD2065," The notified chemical will be used as a fragrance ingredient in finished personal care/cosmetic and household products that will be used by consumers and professionals (such as hairdressers, workers in beauty salons and cleaners).",,
LTD2066,"The notified chemical will be used as a fragrance component in a variety of cosmetic, oral care and household cleaning products at various allowable use concentrations (refer to the concentrations in section 6.3.2. Table), and in liquid electric and aerosol air fresheners at ? 0.2% concentration.",,
LTD2067," The notified chemical will be used as a fragrance component in a variety of cosmetic and household products at typical final use concentrations of ? 0.05% in body lotion, face cream and hand cream, ? 0.1% in other leave-on/rinse-off cosmetics, ? 1% in fine fragrances, ? 0.1% in household cleaning products and ? 5% in air fresheners.",,
LTD2068, The notified polymer will be used as an emulsifier at < 2% concentration in the manufacture of ammonium nitrate explosive emulsions for construction and mining operations.,,
LTD2069, The notified polymer will be used as an additive of fuel at < 0.5% concentration.,,
LTD2070," The notified chemical is a component of fire retardant products used in construction. It will be imported and marketed at a concentration < 5% in polyurethane foam, packed in aerosol cans, respectively:","The notified chemical is a member of a class of chemicals known as brominated flame retardants (BFRs). This class of chemicals has come under increased international attention because of the potential of these chemicals to cause adverse effects to the environment and human health. The notified chemical is a replacement BFR for PBDE (polybrominated diphenyl ether). The PBDE class of chemicals are of particular concern because they are persistent in the environment and have high potential for bioaccumulation and chronic toxicity and as such, some PBDEs have been classified as Persistent Organic Pollutants (POPs).",
LTD2071, The notified chemical will be used at ? 2% concentration as a component of a siliconized liner in pressure sensitive adhesive tapes. The finished end-use products containing the adhesive tapes will be for industrial and domestic use.,,
LTD2072," The notified chemical will be used as a component in leave on and rinse off cosmetic products at concentration ? 10 %, which may include aerosol sprays.",,
LTD2073," The notified chemical will be used as a fragrance ingredient in fine fragrances at < 0.05% concentration, and in cosmetic and household products at < 0.005% concentration.",,
LTD2074, The notified polymer will be used as a component of paints and coatings at ? 1.5% concentration.,,
LTD2075, The notified polymer will be used as a component of two-part industrial coatings at < 30% concentration for use in the aerospace industry.,,
LTD2077, The notified polymer will be used as a component of water-based wood coatings at ? 15% concentration.,,
LTD2078, The notified chemical will be used as a flavouring ingredient in oral care products. The proposed maximum use concentration of the notified chemical in various consumer products such as toothpaste and mouthwash will be ? 0.1%.,,
LTD2079, The notified polymer will be used a component of liquid laundry detergents.,,
LTD2080, The notified polymer will be used in 3D printing of plastic articles.,,
LTD2081," The notified chemical will be used as a fragrance component in a variety of cosmetic and household products at typical final use concentrations of ? 0.2% in cosmetics products, ? 2% in fine fragrances, ? 0.2% in household cleaning products and ? 10% in air fresheners.",,
LTD2082, The notified polymer will be used a component of hard surface cleaning products at a concentration of 0.05 – 0.2%.,,
LTD2083, The notified chemical will be used in leave on and rinse off cosmetic products including in aerosols at concentrations of ? 30%.,A Risk Quotient (PEC/PNEC) has not been calculated as the notified chemical is not expected to be harmful up to its water solubility limit. The notified chemical has a low potential for bioaccumulation but is predicted to be persistent in the environment until it is degraded by hydrolytic- or soil-based abiotic degradation mechanisms.,
LTD2084," The notified chemical will be used as a fragrance component in cosmetic and household products. The concentration of the notified chemical in final consumer products will vary but the proposed maximum usage concentrations will not exceed 3% in cosmetic products with typical concentrations in fine fragrances at ? 1%, body lotions at ? 1.87%, face and hand creams at ? 0.98%, and antiperspirants and deodorants at ? 0.15%.",,
LTD2091,The notified chemical will be used as a fragrance ingredient in cosmetic and household products.,"The notified chemical is expected to be efficiently removed from effluent in STPs by partitioning to sludge (16 %) and volatilisation (77 %; Struijs et al., 1991). After treatment at STPs, approximately 7% of the notified chemical is expected to be released to surface waters. Based on its moderate water solubility (18 mg/L) and partition coefficient (log Pow = 3.9), when released to surface waters, the notified chemical is expected to partition between water and sediment. The measured vapour pressure (28 Pa at 20 °C) indicates that the notified chemical is volatile and will partition to air during its lifecycle, especially during STP treatment. The predicted half-life of the notified chemical in air due to reaction with hydroxyl radicals is 1.0 h assuming 12 h of sunlight per day and hydroxyl radical concentration of 1.5 × 106 molecules/cm3 (AOPWIN v1.92; US EPA, 2012). Ozone is also predicted to react with the notified chemical facilitating a second atmospheric degradation pathway; this reaction has an estimated half-life of 38 minutes assuming 12 h of sunlight per day (AOPWIN v1.92; US EPA, 2012). The notified chemical is therefore not expected to be persistent in air.",
LTD2092, The notified polymer will be used in leave-on and rinse-off cosmetic products (including aerosols) at ? 1% concentration.,,
LTD2093, The notified chemical will be used as a component of moisture cured polyurethane adhesives at ? 5% concentration in the production of engineered wood products for structural and non-structural end use applications.,,
LTD2095, The notified chemical will be used as a fragrance ingredient in cosmetic and household products at up to 0.1% concentration.,,
LTD2096," The notified chemical will be used as a component of lip and oral care cosmetic products (including toothpaste, mouthwash and lipstick) at ? 0.65% concentration.",,
LTD2097," The notified chemical will be used as a component of lip and oral care cosmetic products (including toothpaste, mouthwash and lipstick) at ? 0.65% concentration.",,
LTD2098," The notified polymer will be used in coatings at up to 50% concentration, it is also reformulated into pigments containing the notified polymer at up to 20% concentration. The notified polymer will be used on/in composite materials.",,
LTD2099," The notified polymer is for industrial use only. The notified polymer will not be available to the public. The notified polymer will be used at > 95% concentration as a component of a polyurethane reactive hot melt adhesive for use in surface and assembly bonding in lamination, general assembly bonding, assembly bonding of wooden parts, and gluing of textiles and plastics.",,
LTD2100, The notified polymer will be used as a component of industrial coatings at < 10% concentration for metal substrates.,,
LTD2101, The notified polymer will be used as a component (< 90%) of the hardener in two-part industrial coatings (top-coat). It will be present at ? 50% concentration in the final coating.,,
LTD2102," The notified chemical (at up to 0.2% concentration) will be formulated into polyolefin fibres for use in applications including carpeting, carpet backing, fabrics, disposable nappies, disposable hospital gowns and packaging.",,
LTD2103, The notified polymer will be used for finished internal coatings for metal food and beverage packaging at < 25% concentration. The notified polymer will not be sold or available to the general public.,,
LTD2104, The notified polymer will be used as a viscosity modifier for automotive fluids and will be present in the finished products at ? 0.025% concentration.,,
LTD2105, The assessed polymer will be used in leave-on and rinse-off hair care products (including aerosols) at up to 4% concentration.,,
LTD2106, The notified polymer will be used at < 10% concentration as an additive in UV-cured coatings and printing inks to improve pigment dispersion and stability.,,
LTD2107, The notified polymer will be used as a cement additive. The notified polymer will be present in reformulated liquid cement admixtures at ? 15% concentration. End use packaged cement products will contain the notified polymer at < 1% concentration.,,
LTD2109," The notified chemical will be used as a component of lip and oral care cosmetic products (including toothpaste, mouthwash and lipstick) at ? 0.5% concentration.","Following its use in oral care cosmetic products, the majority of the notified chemical is expected to enter the sewer system, before potential release to surface waters nationwide. Due to its chemical structure, moderate log Pow (3.4) and log Koc (3.2), a significant amount of the notified chemical is expected remain in the effluent after release from STPs. The notified chemical released to surface waters is expected to partially adhere to sediment matter, but mainly be dispersed in the water. Consequently, the notified chemical is expected to be significantly bioavailable, however, the potential for bioaccumulation is low based on the log Pow. The notified chemical is not expected to be persistent in water but degradation in sediment, is expected to be slower. The sewage sludge containing the notified chemical residues may be sent to landfill or applied to soils for land remediation. The notified chemical is expected to ultimately degrade biotically and abiotically to form water and oxides of carbon and nitrogen.",
LTD2110, The notified chemical will be used as a component of colourants for manufacture of PET beverage bottles. The concentration of the notified chemical in finished articles will be ~0.033%.,,
LTD2111, The notified chemicals will be used as fragrance ingredients. The notified chemicals are manufactured overseas as an inseparable isomer mixture. The inseparable isomer mixture will be imported as a component of fragrance oils at ? 10% concentration and reformulated into a variety of cosmetic and household products in Australia.,,
LTD2112, The notified chemicals will be used as fragrance ingredients. The notified chemicals are manufactured overseas as an inseparable isomer mixture. The inseparable isomer mixture will be imported as a component of fragrance oils at ? 10% concentration and reformulated into a variety of cosmetic and household products in Australia.,,
LTD2113," The notified polymer will be used as a component of leave on and rinse off cosmetic products at ? 5% concentration, including aerosol spray products such as deodorant and hair sprays.",,
LTD2114, The notified chemical will be used as a fragrance ingredient and incorporated into a variety of cosmetic and household products at ? 0.1% concentration.,,
LTD2115," The notified polymer is a hair conditioning agent. It can be used in a range of hair care products including rinse-off and leave-on conditioners, shampoos, hair oils and other similar end use products. In finished consumer products the maximum proposed use concentration of the notified polymer is ? 3%.",,
LTD2125, The notified chemical will be used as a component of inkjet printing ink for office and commercial use at a concentration of ? 5%. No home use of the ink containing the notified chemical is expected.,,
LTD2128, The assessed polymer will be used as a component of denture adhesive at ? 40% concentration.,,
LTD2139, The assessed polymer will be used as a dispersant in finished additives for diesel fuel at ? 30% concentration by professional workers and DIY users. It will also be used as a dispersant at 1-10% concentration in solvent based inks used for high volume commercial printing.,,
LTD2140, The assessed chemical will be used as a component of oxidative and non-oxidative hair dye at ? 2% concentration.,,
LTD2141," The assessed polymer will be used at < 10% concentration in automotive lubricants, including transmission fluids and engine oils.",,
LTD2142, The assessed chemical will be used as a fragrance ingredient in cosmetics and household products at final use concentrations of ? 0.1%.,,
LTD2143," The assessed chemical will be used as a fragrance ingredient in a variety of cosmetic and household products at final use concentrations of ? 1.21% in fine fragrances, ? 0.61% in deodorants, ? 0.2% in other cosmetic products and household cleaning products, ? 10% in electrical air fresheners and ? 1% in aerosol, spray and candle air fresheners.",,
LTD2145, The assessed chemical will be used as a component of a dual-phase corrosion inhibitor for reinforced concrete structures.,,
LTD2147,"The assessed chemicals will be used as a fragrance ingredient in cosmetic products, detergents, cleaning and other household products.",,
LTD2148, The assessed chemical will be used as an oxidative dye in hair dye formulations. The assessed chemical will be introduced in finished oxidative hair dye products at ? 0.35% concentration. The hair dye product will be mixed with a developer to give a maximum on-head concentration of 0.12% for the assessed chemical. The hair dye products will be available for use by professionals only (e.g. hairdressers or hair salon workers).,,
LTD2149, The assessed chemical will be used as an oxidative dye in hair dye formulations and will be introduced in end-use products at ? 1.5% concentration. The hair dye product will be mixed with a developer to give a maximum on-head concentration of 0.5% for the assessed chemical. The hair dye products will be available for use by professionals only (e.g. hair dressers or hair salon workers).,,
LTD2150, The assessed chemical will be used as an oxidative dye in hair dye formulations. The assessed chemical will be introduced in finished oxidative hair dye products at ? 1% concentration The hair dye product will be mixed with a developer to give a maximum on-head concentration of 0.33% for the assessed chemical. The hair dye products will be available for use by professionals only (e.g. hairdressers or hair salon workers).,,
LTD2153, The assessed polymer will be used in UV-cured inks for commercial printing at < 10% concentration.,,
LTD2155, The assessed polymer will be used as an additive in transmission fluids.,,
