Application ID,Updated Application ID No Dash,Final Verified S64(1),Final Verified S64(1) Flat,Final Verified S64(2),Final Verified S64(2) Flat,SIR Obligations
LTD/1445,LTD1445,"the polymers have a number-average molecular weight of less than 1,000 
the polymers are imported in a mixture that can be aerosolised
","the polymers have a number-average molecular weight of less than 1,000 
the polymers are imported in a mixture that can be aerosolised
","the function or use of the chemicals has changed from a component (at > 90%) in readytouse polyurethane hotmelt adhesive, or is likely to change significantly
the amount of chemicals being introduced has increased from 300 tonne per year, or is likely to increase, significantly
the chemicals have begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemicals on occupational health and safety, public health, or the environment
","the function or use of the chemicals has changed from a component (at > 90%) in readytouse polyurethane hotmelt adhesive, or is likely to change significantly
the amount of chemicals being introduced has increased from 300 tonne per year, or is likely to increase, significantly
the chemicals have begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemicals on occupational health and safety, public health, or the environment
",
LTD/1446,LTD1446,"the polymers have a number-average molecular weight of less than 1,000 
the polymers are imported in a mixture that can be aerosolised
","the polymers have a number-average molecular weight of less than 1,000 
the polymers are imported in a mixture that can be aerosolised
","the function or use of the chemicals has changed from a component (at > 90%) in readytouse polyurethane hotmelt adhesive, or is likely to change significantly
the amount of chemicals being introduced has increased from 300 tonne per year, or is likely to increase, significantly
the chemicals have begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemicals on occupational health and safety, public health, or the environment
","the function or use of the chemicals has changed from a component (at > 90%) in readytouse polyurethane hotmelt adhesive, or is likely to change significantly
the amount of chemicals being introduced has increased from 300 tonne per year, or is likely to increase, significantly
the chemicals have begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemicals on occupational health and safety, public health, or the environment
",
LTD/1447,LTD1447,No Section 64(1) condition listed,No Section 64(1) condition listed,"the function or use of the chemical has changed from an additive at < 0.01% in polyester resins, or is likely to change significantly
the amount of chemical being introduced has increased from 1 tonne per year, or is likely to increase, significantly
the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.
","the function or use of the chemical has changed from an additive at < 0.01% in polyester resins, or is likely to change significantly
the amount of chemical being introduced has increased from 1 tonne per year, or is likely to increase, significantly
the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.
",
LTD/1448,LTD1448,"the importation volume exceeds 1 tonne per annum notified chemical
the notified chemical is imported in any form other than a component of printing ink at up to 30% concentration in sealed cartridges
the ink containing the notified chemical is used for printing in other than commercial facilities
","the importation volume exceeds 1 tonne per annum notified chemical
the notified chemical is imported in any form other than a component of printing ink at up to 30% concentration in sealed cartridges
the ink containing the notified chemical is used for printing in other than commercial facilities
","the function or use of the chemical has changed from a component of printing ink or is likely to change significantly
the amount of chemical being introduced has increased or is likely to increase, significantly
the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
","the function or use of the chemical has changed from a component of printing ink or is likely to change significantly
the amount of chemical being introduced has increased or is likely to increase, significantly
the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
",
LTD/1449,LTD1449,the concentration of the notified polymer in engine oil products is ? 1%,the concentration of the notified polymer in engine oil products is ? 1%,"the function or use of the polymer has changed from an engine oil viscosity modifier, or is likely to change significantly
the amount of polymer being introduced has increased, or is likely to increase, significantly
the polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the polymer on occupational health and safety, public health, or the environment
","the function or use of the polymer has changed from an engine oil viscosity modifier, or is likely to change significantly
the amount of polymer being introduced has increased, or is likely to increase, significantly
the polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the polymer on occupational health and safety, public health, or the environment
",
LTD/145,NA145,No Section 64(1) condition listed,No Section 64(1) condition listed,if any of the circumstances listed in the subsection arise,if any of the circumstances listed in the subsection arise,
LTD/1450,LTD1450,the importation volume exceeds 1 tonne per annum notified chemical,the importation volume exceeds 1 tonne per annum notified chemical,"the function or use of the chemical has changed from component of printer ink at <1% concentration, sealed within a cartridge, or is likely to change significantly
the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
","the function or use of the chemical has changed from component of printer ink at <1% concentration, sealed within a cartridge, or is likely to change significantly
the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
",
LTD/1451,LTD1451,"the polymer has a number-average molecular weight of less than 1,000
the concentration of the notified polymer in the finished stain resist formulation exceeds 1%.  
","the polymer has a number-average molecular weight of less than 1,000
the concentration of the notified polymer in the finished stain resist formulation exceeds 1%.  
","the function or use of the chemical has changed from a component of a stain resistant formulations for carpets or is likely to change significantly
the amount of chemical being introduced has increased from 5 tonnes, or is likely to increase significantly
the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
","the function or use of the chemical has changed from a component of a stain resistant formulations for carpets or is likely to change significantly
the amount of chemical being introduced has increased from 5 tonnes, or is likely to increase significantly
the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
",
LTD/1452,LTD1452,"the polymer has a number-average molecular weight of less than 1,000","the polymer has a number-average molecular weight of less than 1,000","the function or use of the chemical has changed from a component of automotive coatings, or is likely to change significantly
the amount of chemical being introduced has increased from 500 tonnes, or is likely to increase, significantly
the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
","the function or use of the chemical has changed from a component of automotive coatings, or is likely to change significantly
the amount of chemical being introduced has increased from 500 tonnes, or is likely to increase, significantly
the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
",
LTD/1453,LTD1453,No Section 64(1) condition listed,No Section 64(1) condition listed,"the function or use of the chemical has changed from a viscosity modifier in automotive gear oil, or is likely to change significantly
if concentration of the notified polymer is >20% in gear oil used by public
the amount of chemical being introduced has increased from 300 tonnes, or is likely to increase, significantly
the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
","the function or use of the chemical has changed from a viscosity modifier in automotive gear oil, or is likely to change significantly
if concentration of the notified polymer is >20% in gear oil used by public
the amount of chemical being introduced has increased from 300 tonnes, or is likely to increase, significantly
the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
",
LTD/1454,LTD1454,No Section 64(1) condition listed,No Section 64(1) condition listed,"the function or use of the chemical has changed from ionexchange resin for use in industrial or mining processes or is likely to change significantly
the amount of chemical being introduced has increased, or is likely to increase, significantly
the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
","the function or use of the chemical has changed from ionexchange resin for use in industrial or mining processes or is likely to change significantly
the amount of chemical being introduced has increased, or is likely to increase, significantly
the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
",
LTD/1455,LTD1455,No Section 64(1) condition listed,No Section 64(1) condition listed,"the function or use of the chemical has changed from a component of protective coatings or is likely to change significantly
the amount of chemical being introduced has increased from 20 tonnes or is likely to increase, significantly
the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
","the function or use of the chemical has changed from a component of protective coatings or is likely to change significantly
the amount of chemical being introduced has increased from 20 tonnes or is likely to increase, significantly
the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
",
LTD/1456,LTD1456,No Section 64(1) condition listed,No Section 64(1) condition listed,"the function or use of the polymer has changed from a component of a can coating formulation (at <35% concentration), or is likely to change significantly
the amount of polymer being introduced has increased from 500 tonnes per annum, or is likely to increase, significantly
the polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the polymer on occupational health and safety, public health, or the environment
","the function or use of the polymer has changed from a component of a can coating formulation (at <35% concentration), or is likely to change significantly
the amount of polymer being introduced has increased from 500 tonnes per annum, or is likely to increase, significantly
the polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the polymer on occupational health and safety, public health, or the environment
",
LTD/1458,LTD1458,"the importation volume exceeds 1 tonne per annum notified chemical
the notified chemical is to be used in leave-on cosmetic products at concentrations >2% and/or in rinse-off cosmetic products at >10%.
","the importation volume exceeds 1 tonne per annum notified chemical
the notified chemical is to be used in leave-on cosmetic products at concentrations >2% and/or in rinse-off cosmetic products at >10%.
","the function or use of the chemical has changed from a component of rinse off and leaveon cosmetic products
the amount of chemical being introduced has increased from 1 tonne per annum, or is likely to increase, significantly
the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
","the function or use of the chemical has changed from a component of rinse off and leaveon cosmetic products
the amount of chemical being introduced has increased from 1 tonne per annum, or is likely to increase, significantly
the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
",
LTD/1459,LTD1459,"the concentration of the notified polymer in imported products is ? 40%
the concentration of the notified polymer in engine oil products is ? 5%
","the concentration of the notified polymer in imported products is ? 40%
the concentration of the notified polymer in engine oil products is ? 5%
","the function or use of the notified polymer has changed from a component of engine oils, or is likely to change significantly
the amount of notified polymer being introduced has increased from 3000 tonnes, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment
","the function or use of the notified polymer has changed from a component of engine oils, or is likely to change significantly
the amount of notified polymer being introduced has increased from 3000 tonnes, or is likely to increase, significantly
the notified polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the notified polymer on occupational health and safety, public health, or the environment
",
LTD/146,NA146,"Given the water solubility and moderate aquatic toxicity of the coupling agent, it is particularly important from the environmental perspective that notification should be provided of any change in its function or use that may entail a significant increase in aquatic exposure.","Given the water solubility and moderate aquatic toxicity of the coupling agent, it is particularly important from the environmental perspective that notification should be provided of any change in its function or use that may entail a significant increase in aquatic exposure.",if any of the circumstances listed in the subsection arise,if any of the circumstances listed in the subsection arise,
LTD/1460,LTD1460,the importation volume exceeds 1 tonne per annum notified chemical,the importation volume exceeds 1 tonne per annum notified chemical,"the concentration of the chemical has increased above 3.25% in leave on cosmetic products and above 12% in rinse off cosmetic products
the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
","the concentration of the chemical has increased above 3.25% in leave on cosmetic products and above 12% in rinse off cosmetic products
the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
",
LTD/1461,LTD1461,"the importation volume exceeds 1 tonne per annum notified chemical
the notified chemical is to be used in rinse-off or leave-on cosmetic products at concentrations >10%
","the importation volume exceeds 1 tonne per annum notified chemical
the notified chemical is to be used in rinse-off or leave-on cosmetic products at concentrations >10%
","the function or use of the chemical has changed from a component in rinseoff and leaveon cosmetic products, or is likely to change significantly
the amount of chemical being introduced has increased from 1 tonne per annum, or is likely to increase, significantly
the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
","the function or use of the chemical has changed from a component in rinseoff and leaveon cosmetic products, or is likely to change significantly
the amount of chemical being introduced has increased from 1 tonne per annum, or is likely to increase, significantly
the chemical has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment
",
LTD/1462,LTD1462,"the polymer has a number-average molecular weight of less than 1,000","the polymer has a number-average molecular weight of less than 1,000","the function or use of the polymer has changed from a component of fertiliser applied as a liquid mixture/dilution, or is likely to change significantly
the amount of polymer being introduced has increased from 300 tonnes, or is likely to increase, significantly
the polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the polymer on occupational health and safety, public health, or the environment
","the function or use of the polymer has changed from a component of fertiliser applied as a liquid mixture/dilution, or is likely to change significantly
the amount of polymer being introduced has increased from 300 tonnes, or is likely to increase, significantly
the polymer has begun to be manufactured in Australia
additional information has become available to the person as to an adverse effect of the polymer on occupational health and safety, public health, or the environment
",
LTD/1463,LTD1463,the importation volume exceeds 1 tonne per annum notified chemical,the importation volume exceeds 1 tonne per annum notified chemical," the function or use of the chemical has changed from a component of printing ink in sealedcartridges; the amount of chemical being introduced has increased or is likely to increase, significantly; the chemical has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the chemicalon occupational health and safety, public health, or the environment."," the function or use of the chemical has changed from a component of printing ink in sealedcartridges; the amount of chemical being introduced has increased or is likely to increase, significantly; the chemical has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the chemicalon occupational health and safety, public health, or the environment.",
LTD/1464,LTD1464,the importation volume exceeds 1 tonne per annum notified chemical,the importation volume exceeds 1 tonne per annum notified chemical,"the function or use of the chemical has changed from an additive in a silicone sealant at < 5%, or is likely to change significantly;

- the amount of chemical being introduced has increased from 1 tonne per year, or is likely to increase, significantly;

- the chemical/ has begun to be manufactured in Australia;

- additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.","the function or use of the chemical has changed from an additive in a silicone sealant at < 5%, or is likely to change significantly;

- the amount of chemical being introduced has increased from 1 tonne per year, or is likely to increase, significantly;

- the chemical/ has begun to be manufactured in Australia;

- additional information has become available to the person as to an adverse effect of the chemical on occupational health and safety, public health, or the environment.",
LTD/1465,LTD1465,"the polymer has a number-average molecular weight of less than 1,000","the polymer has a number-average molecular weight of less than 1,000"," the function or use of the polymer has changed from a synthetic lubricant, or is likely to changesignificantly; the amount of polymer being introduced has increased from 20 tonnes , or is likely to increase,significantly; the polymer has begun to be manufactured in Australia; additional information has become available to the person as to a n adverse effect of the polymer onoccupational health and safety, public health, or the environment."," the function or use of the polymer has changed from a synthetic lubricant, or is likely to changesignificantly; the amount of polymer being introduced has increased from 20 tonnes , or is likely to increase,significantly; the polymer has begun to be manufactured in Australia; additional information has become available to the person as to a n adverse effect of the polymer onoccupational health and safety, public health, or the environment.",
LTD/1466,LTD1466,"the notified polymer is intended for use in ink jet printing inks at ? 1%; or
? products containing the notified polymer are intended for use by the public","the notified polymer is intended for use in ink jet printing inks at ? 1%; or
? products containing the notified polymer are intended for use by the public"," the function or use of the notified polymer has changed from component of industrial ink jetprinting inks, or is likely to change significantly; the amount of the notified polymer being introduced has increased from 0.5 tonne , or is likely toincrease, significantly; the notified polymer has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the notifiedpolymer on occupational health and safety, public health, or the environment."," the function or use of the notified polymer has changed from component of industrial ink jetprinting inks, or is likely to change significantly; the amount of the notified polymer being introduced has increased from 0.5 tonne , or is likely toincrease, significantly; the notified polymer has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the notifiedpolymer on occupational health and safety, public health, or the environment.",
LTD/1467,LTD1467,"the importation volume exceeds 1 tonne per annum notified chemical
the notified chemical is intended for use in products available to the public
","the importation volume exceeds 1 tonne per annum notified chemical
the notified chemical is intended for use in products available to the public
"," the function or use of the chemical has changed from component of ink at <6% for use in inkjetprinters , or is likely to change significantly; the chemical has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the chemicalon occupational health and safety, public health, or the environment."," the function or use of the chemical has changed from component of ink at <6% for use in inkjetprinters , or is likely to change significantly; the chemical has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the chemicalon occupational health and safety, public health, or the environment.",
LTD/1468,LTD1468,No Section 64(1) condition listed,No Section 64(1) condition listed," the function or use of the polymer has changed from a component of industrial coatings andindustrial printing inks, or is likely to change significantly; the amount of polymer being introduced has increased more than 10 tonnes , or is likely to increase,significantly; the polymer has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the polymer onoccupational health and safety, public health, or the environment."," the function or use of the polymer has changed from a component of industrial coatings andindustrial printing inks, or is likely to change significantly; the amount of polymer being introduced has increased more than 10 tonnes , or is likely to increase,significantly; the polymer has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the polymer onoccupational health and safety, public health, or the environment.",
LTD/1469,LTD1469,No Section 64(1) condition listed,No Section 64(1) condition listed," the function or use of the polymer has changed from a component of surface coatings at <10% forindustrial use , or is likely to change significantly; the amount of polymer being introduced has increased from 3 tonnes , or is likel y to increase,significantly; the polymer has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the polymer onoccupational health and safety, public health, or the environment."," the function or use of the polymer has changed from a component of surface coatings at <10% forindustrial use , or is likely to change significantly; the amount of polymer being introduced has increased from 3 tonnes , or is likel y to increase,significantly; the polymer has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the polymer onoccupational health and safety, public health, or the environment.",
LTD/147,NA147,No Section 64(1) condition listed,No Section 64(1) condition listed,if any of the circumstances listed in the subsection arise,if any of the circumstances listed in the subsection arise,
LTD/1470,LTD1470,the importation volume exceeds 1 tonne per annum notified chemical,the importation volume exceeds 1 tonne per annum notified chemical," the function or use of the chemical has changed from an accelerator for epoxy based heat curableadhesives in paste form at < 1.0% used in the automotive industry (original equipmentmanufacturer only) , or is likely to change significantly; August 2010 NICNASFULL PUBLIC REPORT: LTD/1470 Page 11 of 13  the amount of chemical being introduced has increased from 1 tonne per year , or is likely toincrease, significantly; the chemical has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the chemicalon occupational health and safety, public health, or the environment."," the function or use of the chemical has changed from an accelerator for epoxy based heat curableadhesives in paste form at < 1.0% used in the automotive industry (original equipmentmanufacturer only) , or is likely to change significantly; August 2010 NICNASFULL PUBLIC REPORT: LTD/1470 Page 11 of 13  the amount of chemical being introduced has increased from 1 tonne per year , or is likely toincrease, significantly; the chemical has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the chemicalon occupational health and safety, public health, or the environment.",
LTD/1471,LTD1471,the importation volume exceeds 1 tonne per annum notified chemical,the importation volume exceeds 1 tonne per annum notified chemical," the function or use of the chemical has changed from an aroma chemical used at < 1.67% inperfumery, cosmetics, to iletries, household products, soaps, detergents and industrial perfumery , oris likely to change significantly; the amount of chemical being introduced has increased from 1 tonne per year, or is likely toincrease, significantly; the chemical has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the chemicalon occupational health and safety, public health, or the environment."," the function or use of the chemical has changed from an aroma chemical used at < 1.67% inperfumery, cosmetics, to iletries, household products, soaps, detergents and industrial perfumery , oris likely to change significantly; the amount of chemical being introduced has increased from 1 tonne per year, or is likely toincrease, significantly; the chemical has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the chemicalon occupational health and safety, public health, or the environment.",
LTD/1472,LTD1472,No Section 64(1) condition listed,No Section 64(1) condition listed," the function or use of the polymer has changed from a chemical used in paper manufacturing , or islikely to change significantly; the amount of polymer being introduced has increased, or is likely to increase, significantly; the polymer has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the polymer onoccupational health and safety, public health, or the environment."," the function or use of the polymer has changed from a chemical used in paper manufacturing , or islikely to change significantly; the amount of polymer being introduced has increased, or is likely to increase, significantly; the polymer has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the polymer onoccupational health and safety, public health, or the environment.",
LTD/1473,LTD1473,No Section 64(1) condition listed,No Section 64(1) condition listed," the function or use of the polymer has changed from a component of cosmetic products at â‰¤20%concentration or is likely to change significantly; the amount of polymer being introduced has increased from 10 tonnes per annum , or is likely toincrease, significantly; the polymer has begun to be manufactured or reformulated in Australia; additional information has become available to the person as to an adverse effect of the polymer onoccupational health and safety, public health, or the environment."," the function or use of the polymer has changed from a component of cosmetic products at â‰¤20%concentration or is likely to change significantly; the amount of polymer being introduced has increased from 10 tonnes per annum , or is likely toincrease, significantly; the polymer has begun to be manufactured or reformulated in Australia; additional information has become available to the person as to an adverse effect of the polymer onoccupational health and safety, public health, or the environment.",
LTD/1474,LTD1474,No Section 64(1) condition listed,No Section 64(1) condition listed,"the function or use of the polymer has changed from use in paint manufacture, or is likely to change significantly;
? the amount of polymer being introduced has increased from 150 tonne per year, or is likely to increase, significantly;
? the polymer has begun to be manufactured in Australia;
? additional information has become available to the person as to an adverse effect of the polymer on occupational health and safety, public health, or the environment.","the function or use of the polymer has changed from use in paint manufacture, or is likely to change significantly;
? the amount of polymer being introduced has increased from 150 tonne per year, or is likely to increase, significantly;
? the polymer has begun to be manufactured in Australia;
? additional information has become available to the person as to an adverse effect of the polymer on occupational health and safety, public health, or the environment.",
LTD/1475,LTD1475,No Section 64(1) condition listed,No Section 64(1) condition listed," the function or use of the polymer has change d from a component of UV -curable inks for inkjetprinting for commercial use only , or is likely to change significantly; the amount of polymer being introduced has increased from 3 tonnes , or is likely to increase,significantly; the polymer has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the polymer onoccupational health and safety, public health, or the environment."," the function or use of the polymer has change d from a component of UV -curable inks for inkjetprinting for commercial use only , or is likely to change significantly; the amount of polymer being introduced has increased from 3 tonnes , or is likely to increase,significantly; the polymer has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the polymer onoccupational health and safety, public health, or the environment.",
LTD/1476,LTD1476,the importation volume exceeds 1 tonne per annum notified chemical,the importation volume exceeds 1 tonne per annum notified chemical," the function or use of the chemical has changed from a component (< 5%) in inkjet printer inks insealed cartridges , or is likely to change significantly; the amount of chemical being introduced has increased from one tonne per annum , or is likely toincrease, significantly; the chemical has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the chemicalon occupational health and safety, public health, or the environment."," the function or use of the chemical has changed from a component (< 5%) in inkjet printer inks insealed cartridges , or is likely to change significantly; the amount of chemical being introduced has increased from one tonne per annum , or is likely toincrease, significantly; the chemical has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the chemicalon occupational health and safety, public health, or the environment.",
LTD/1477,LTD1477,the importation volume exceeds 1 tonne per annum notified chemical,the importation volume exceeds 1 tonne per annum notified chemical," the function or use of the chemical has changed from a component (< 5%) in inkjet printer inks insealed cartridges , or is likely to change significantly; the amount of chemical being introduced has increased from one tonne per annum , or is likely toincrease, significantly; the chemical has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the chemicalon occupational health and safety, public health, or the environment."," the function or use of the chemical has changed from a component (< 5%) in inkjet printer inks insealed cartridges , or is likely to change significantly; the amount of chemical being introduced has increased from one tonne per annum , or is likely toincrease, significantly; the chemical has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the chemicalon occupational health and safety, public health, or the environment.",
LTD/1478,LTD1478,"the polymer has a number-average molecular weight of less than 1,000","the polymer has a number-average molecular weight of less than 1,000"," the function or use of the polymer has changed from a component of automotive p aint atconcentrations up to 5% , or is likely to change significantly; the amount of polymer being introduced has increased from 10 tonnes , or is likely to increase,significantly; the polymer has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the polymer onoccupational health and safety, public health, or the environment."," the function or use of the polymer has changed from a component of automotive p aint atconcentrations up to 5% , or is likely to change significantly; the amount of polymer being introduced has increased from 10 tonnes , or is likely to increase,significantly; the polymer has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the polymer onoccupational health and safety, public health, or the environment.",
LTD/1479,LTD1479,the importation volume exceeds 1 tonne per annum notified chemical,the importation volume exceeds 1 tonne per annum notified chemical," the function or use of the chemical has changed from a component of fine perfumes and othercosmetic and domestic products at 0.1 %, or is likely to change significantly; the chemical has begun to be manufactured in Australia; additional information has become available to the person as to a n adverse effect of the chemicalon occupational health and safety, public health, or the environment."," the function or use of the chemical has changed from a component of fine perfumes and othercosmetic and domestic products at 0.1 %, or is likely to change significantly; the chemical has begun to be manufactured in Australia; additional information has become available to the person as to a n adverse effect of the chemicalon occupational health and safety, public health, or the environment.",
LTD/1480,LTD1480,the importation volume exceeds 1 tonne per annum notified chemical,the importation volume exceeds 1 tonne per annum notified chemical," the function or use of the chemical has changed from a component of fine perfumes and othercosmetic and domestic products at 0.1% , or is likely to change significantly; the chemical has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the chemicalon occupational health and safety, public health, or the environment."," the function or use of the chemical has changed from a component of fine perfumes and othercosmetic and domestic products at 0.1% , or is likely to change significantly; the chemical has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the chemicalon occupational health and safety, public health, or the environment.",
LTD/1481,LTD1481,the importation volume exceeds 1 tonne per annum notified chemical,the importation volume exceeds 1 tonne per annum notified chemical," the function or use of the chemical has changed from a component of cosmetic/domestic product sand for fine fragrances at concentrations more than 1% or is likely to change significantly; the chemical has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the chemicalon occupational health and safety, public health, or the environment."," the function or use of the chemical has changed from a component of cosmetic/domestic product sand for fine fragrances at concentrations more than 1% or is likely to change significantly; the chemical has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the chemicalon occupational health and safety, public health, or the environment.",
LTD/1482,LTD1482,No Section 64(1) condition listed,No Section 64(1) condition listed," the function or use of the polymer has changed from a component of a bonding resin for themanufacture of DVDs , or is likely to change significantly; the amount of polymer being introduced has increased from 10 tonnes per annum, or is likely toincrease, significantly; the polymer has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the polymer onoccupational health and safety, public health, or the enviro nment."," the function or use of the polymer has changed from a component of a bonding resin for themanufacture of DVDs , or is likely to change significantly; the amount of polymer being introduced has increased from 10 tonnes per annum, or is likely toincrease, significantly; the polymer has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the polymer onoccupational health and safety, public health, or the enviro nment.",
LTD/1483,LTD1483,"the polymer has a number-average molecular weight of less than 1,000
the polymer is imported in a mixture that can be aerosolised
","the polymer has a number-average molecular weight of less than 1,000
the polymer is imported in a mixture that can be aerosolised
"," the function or use of the polymer has changed from a component (at <60%) in ready -to-usepolyurethane hot -melt adhesive, or is likely to change significantly; the amount of polymer being introduced has increased from 100 tonnes per annum , or is likely toincrease, significantly; the polymer has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the polymer onoccupational health and safety, public health, or the environment."," the function or use of the polymer has changed from a component (at <60%) in ready -to-usepolyurethane hot -melt adhesive, or is likely to change significantly; the amount of polymer being introduced has increased from 100 tonnes per annum , or is likely toincrease, significantly; the polymer has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of the polymer onoccupational health and safety, public health, or the environment.",
LTD/1484,LTD1484,No Section 64(1) condition listed,No Section 64(1) condition listed," the function or use of the polymer has changed from a component of industrial primer coatingsat < 50% in one part of 2- part epoxy coating , or is likely to change significantly; the amount of polymer being introduced has increased from 100 tonne per year , or is likely toincrease, significantly; the polymer has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of thepolymer on occupational health and safety, public health, or the environment.March 2011 NICNAS"," the function or use of the polymer has changed from a component of industrial primer coatingsat < 50% in one part of 2- part epoxy coating , or is likely to change significantly; the amount of polymer being introduced has increased from 100 tonne per year , or is likely toincrease, significantly; the polymer has begun to be manufactured in Australia; additional information has become available to the person as to an adverse effect of thepolymer on occupational health and safety, public health, or the environment.March 2011 NICNAS",
